Parameters,Logsum,Utility
ASC01,0.22,0.078
ASC02,-0.013,-0.081
ASC03,0.103,-0.012
ASC04,-0.023,-0.091
ASC05,-0.024,-0.078
ASC06,0.095,0.03
ASC07,0.279,0.852
ASC08,-0.142,-0.254
ASC09,-0.112,0.088
ASC10,-0.535,-0.626
ASC11,-0.558,-0.503
ASC12,0.072,-0.063
ASC13,-0.069,-0.243
ASC14,-0.135,-0.274
ASC15,0.136,0.294
ASC16,-0.154,-0.193
ASC17,-0.188,-0.123
ASC18,0.064,0.109
ASC19,-0.208,-0.062
ASC20,-0.529,-0.478
ASC21,-0.844,-0.749
ASC22,-0.553,-0.509
ASC23,-0.334,0.431
ASC24,-1.009,-0.904
ASC25,-0.992,-0.868
ASC26,-0.646,-0.537
ASC27,-0.755,-0.541
ASC28,-0.431,-0.184
ASC29,-0.531,-0.388
ASC30,-0.803,-0.624
ASC31,-0.175,0.545
ASC32,-0.287,-0.385
ASC33,-0.486,-0.693
ASC34,-0.411,-0.571
ASC35,-0.418,-0.48
ASC36,-0.461,-0.306
ASC37,-0.523,-0.581
ASC38,-0.658,-0.761
ASC39,0.161,0.903
ASC40,-0.061,0.383
ASC41,-0.175,0.509
ASC42,-0.395,-0.166
ASC43,-0.88,-1.021
ASC44,-0.314,-0.224
ASC45,-0.36,-0.224
ASC46,-0.928,-1.083
ASC47,-0.77,-0.932
ASC48,-0.958,-1.054
ASC49,-0.711,-0.719
ASC50,-1.172,-0.291
ASC51,-1.089,-1.276
ASC52,-1.684,-1.761
Beta_01,0.023,0.041
Beta_02,0.068,0.042
Beta_03,0.007,0.007
Beta_04,0.057,0.04
Beta_05,0.007,0.007
Beta_06,0.042,0.048
Beta_07,0.055,0.057
Beta_08,0.192,0.433
Beta_09,0.068,0.055
Beta_10,0.074,0.164
Beta_11,0.032,0.033
Beta_12,0.091,0.134
Beta_13,0.079,0.078
Beta_14,0.071,0.061
Beta_15,0.047,0.045
Beta_16,0.18,0.271
Beta_17,0.093,0.125
Beta_18,0.119,0.182
Beta_19,0.208,0.263
Beta_20,0.215,0.234
Beta_21,0.074,0.057
Beta_22,0.009,0.009
Beta_23,0.117,0.093
Beta_24,0.306,0.563
Beta_25,0.004,0.004
Beta_26,0.013,0.012
Beta_27,0.084,0.073
Beta_28,0.029,0.041
Beta_29,0.13,0.172
Beta_30,0.04,0.048
Beta_31,0.026,0.027
Beta_32,0.204,0.385
Beta_33,0.077,0.101
Beta_34,0.063,0.048
Beta_35,0.02,0.023
Beta_36,0.129,0.14
Beta_37,0.129,0.232
Beta_38,0.124,0.175
Beta_39,0.018,0.013
Beta_40,0.192,0.404
Beta_41,0.153,0.279
Beta_42,0.149,0.342
Beta_43,0.12,0.203
Beta_44,0.053,0.041
Beta_45,0.184,0.228
Beta_46,0.14,0.193
Beta_47,0.075,0.055
Beta_48,0.095,0.076
Beta_49,0.032,0.028
Beta_50,0.09,0.108
Beta_51,0.18,0.366
Beta_52,0.083,0.062
Beta_53,0.048,0.053
Beta_54,0,0
Beta_55,-0.022,-0.017
Beta_56,0,0
Beta_57,0,0
Beta_58,0,0
Beta_59,0,0
Beta_60,-0.119,-0.117
Beta_61,0.04,-0.02
Beta_62,0.002,-0.004
Beta_63,0,0
Beta_64,-0.178,-0.164
Beta_65,0,0
Beta_66,0,0
Beta_67,0,0
Beta_68,0,0
Beta_69,0,0
Beta_70,0,0
Beta_71,-0.015,-0.01
Beta_72,0.018,-0.015
Beta_73,0,0
Beta_74,0,0
Beta_75,-0.078,-0.092
Beta_76,0,0
Beta_77,0,0
Beta_78,0,0
Beta_79,0,0
Beta_80,0,0
Beta_81,0.071,-0.019
Beta_82,0.007,-0.009
Beta_83,0.011,-0.009
Beta_84,0.098,0
Beta_85,-0.029,-0.053
Beta_86,-0.056,-0.064
Beta_87,-0.142,-0.145
Beta_88,0,0
Beta_89,0.136,0
Beta_90,0.077,0
Beta_91,0,0
Gamma_01,-1.245,0
Gamma_02,-1.321,0
Gamma_03,-1.388,-0.028
Gamma_04,-1.464,-0.18
Gamma_05,-1.468,-0.255
Gamma_06,-1.541,-0.114
Gamma_07,-1.597,0
Gamma_08,-1.697,0
Gamma_09,-1.246,-0.007
Gamma_10,-1.364,0.003
Gamma_11,-0.678,0.052
Gamma_12,-0.692,0.029
Gamma_13,-0.742,0.061
Gamma_14,-0.826,0.014
Gamma_15,-0.973,0.003
Gamma_16,-0.913,0.049
Gamma_17,-0.94,-0.005
Gamma_18,-0.797,-0.052
Gamma_19,-1.264,0.099
Gamma_20,-1.461,-0.125
Gamma_21,-1.411,-0.022
Gamma_22,-1.605,0.07
Gamma_23,-1.579,-1.256
Gamma_24,-1.651,-1.329
Gamma_25,-1.984,-1.399
Gamma_26,-1.665,-1.469
Gamma_27,-2.271,-1.479
Gamma_28,-1.895,-1.552
Gamma_29,-1.097,-1.607
Gamma_30,-1.114,-1.701
Gamma_31,-0.972,-1.255
Gamma_32,-0.93,-1.376
Gamma_33,-1.398,-0.652
Gamma_34,-1.428,-0.673
Gamma_35,-1.889,-0.749
Gamma_36,-1.795,-0.836
Gamma_37,-1.667,-0.979
Gamma_38,-1.899,-0.917
Gamma_39,0.034,-0.943
Gamma_40,0.641,-0.801
Gamma_41,1.723,-1.267
Gamma_42,0.763,-1.462
Gamma_43,0.474,-1.419
Gamma_44,0.342,-1.609
Gamma_45,0.5,-1.584
Gamma_46,0.969,-1.646
Gamma_47,0.77,-1.993
Gamma_48,0.655,-1.671
Gamma_49,1.656,-2.278
Gamma_50,1.541,-1.899
Gamma_51,3.181,-1.1
Gamma_52,0.989,-1.098
Gamma_53,3.506,-0.962
Gamma_54,-0.024,-0.916
Gamma_55,-0.064,-1.392
Gamma_56,0.12,-1.43
Gamma_57,0.843,-1.886
Gamma_58,-0.006,-1.802
Gamma_59,0.005,-1.67
Gamma_60,0.519,-1.879
Gamma_61,0.435,0.053
Gamma_62,0.57,0.637
Gamma_63,-0.149,1.816
Gamma_64,0.041,0.811
Gamma_65,0.065,0.454
Gamma_66,0.243,0.354
Gamma_67,0.611,0.542
Gamma_68,-0.061,1.023
Gamma_69,-0.072,0.855
Gamma_70,0.2,0.685
Gamma_71,0.219,1.62
Gamma_72,0.583,1.585
Gamma_73,-0.145,3.918
Gamma_74,0.051,1.169
Gamma_75,-0.06,4.295
Gamma_76,0.152,-0.02
Gamma_77,0.859,-0.061
Gamma_78,0.007,0.123
Gamma_79,0.033,0.849
Gamma_80,-0.061,0.002
Gamma_81,0.139,-0.01
Gamma_82,0.893,0.47
Gamma_83,0.029,0.418
Gamma_84,0.042,0.531
Gamma_85,0.026,-0.158
Gamma_86,0.074,0.039
Gamma_87,0.894,0.084
Gamma_88,0.023,0.247
Gamma_89,0.341,0.612
Gamma_90,-0.417,-0.057
Gamma_91,-0.234,-0.07
Gamma_92,3.23,0.22
Gamma_93,0.174,0.216
Gamma_94,0.797,0.587
Gamma_95,0.494,-0.141
Gamma_96,1.912,0.063
Gamma_97,-0.031,-0.058
Gamma_98,0.873,0.152
Scale,1,0.85
Ex1,0,0.012
Ex2,0,0.02
Ex3,0,-0.059
Ex4,0,0.127
Ex5,0,0.917
Ex6,0,0.029
Ex7,0,0.028
Ex8,0,0.065
Ex9,0,0.083
Ex10,0,0.891
Ex11,0,0.014
Ex12,0,0.366
Ex13,0,-0.439
Ex14,0,-0.251
Ex15,0,3.178
Ex16,0,0.135
Ex17,0,0.976
Ex18,0,0.947
Ex19,0,2.411
Ex20,0,-0.06
Ex21,0,1.152
Ex22,0,1
